,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
545,421010112003-1800-car,"39.9720602994466,-75.23317581121346",2991887855.062816,3.6239325068870523,True,922604.5641857776,0.0,12160.0,2849,9.522415738875293e-07
546,421010112003-600-pt,"39.9720602994466,-75.23317581121346",2419829.166204854,3.607142857142857,False,717.6056195192159,0.0,6720.0,40,1.6530092520016245e-05
547,421010112003-1200-pt,"39.9720602994466,-75.23317581121346",18761078.299376585,3.406344410876133,False,24864.710243035483,0.0,7552.0,257,1.3698572965741521e-05
548,421010112003-1800-pt,"39.9720602994466,-75.23317581121346",55078626.36302598,3.6318740565020486,True,57549.46537767083,0.0,9216.0,505,9.168710865654487e-06
585,421010112006-600-foot,"39.975036244708456,-75.23473713181927",2223964.231000533,2.9166666666666665,False,3532.286732985258,0.0,7552.0,48,2.1583080937594673e-05
586,421010112006-1200-foot,"39.975036244708456,-75.23473713181927",8431093.346989857,3.1779661016949152,False,15951.907852529164,0.0,6400.0,129,1.530050667106618e-05
587,421010112006-1800-foot,"39.975036244708456,-75.23473713181927",20513674.31916972,3.389937106918239,False,19194.66725334265,0.0,7136.0,249,1.2138244769115461e-05
588,421010112006-600-car,"39.975036244708456,-75.23473713181927",217440327.78184453,3.599926524614254,True,125812.34118793064,0.0,8800.0,799,3.6745713555105926e-06
589,421010112006-1200-car,"39.975036244708456,-75.23473713181927",1107861167.7750447,3.645537564269818,True,753286.5418637207,0.0,10624.0,2568,2.3179799732103633e-06
590,421010112006-1800-car,"39.975036244708456,-75.23473713181927",3047169241.202141,3.623633363130028,True,937286.3496472773,0.0,12224.0,2852,9.359506395105431e-07
591,421010112006-600-pt,"39.975036244708456,-75.23473713181927",2978552.640586112,3.25,False,3477.135736944354,0.0,6976.0,56,1.8801077824490106e-05
592,421010112006-1200-pt,"39.975036244708456,-75.23473713181927",20505480.702207603,3.419491525423729,True,24864.710243035483,0.0,7264.0,268,1.306967653633925e-05
593,421010112006-1800-pt,"39.975036244708456,-75.23473713181927",57132630.37589419,3.6320998278829606,True,57549.46537767083,0.0,9261.5,506,8.856585049049223e-06
630,421010112007-600-foot,"39.97506667476205,-75.2325837542201",2232683.9267952624,2.8666666666666667,False,1839.8257646487718,0.0,7216.0,43,1.925933155335655e-05
631,421010112007-1200-foot,"39.97506667476205,-75.2325837542201",8191329.96754805,3.2203389830508473,False,14333.903075734957,0.0,6400.0,116,1.4161314519078376e-05
632,421010112007-1800-foot,"39.97506667476205,-75.2325837542201",20096071.2262874,3.3466257668711656,False,18721.450444170867,0.0,7072.0,247,1.2290959621844027e-05
633,421010112007-600-car,"39.97506667476205,-75.2325837542201",185552014.71530715,3.6000214638334405,True,103892.4219899531,0.0,8864.0,721,3.885702890945334e-06
634,421010112007-1200-car,"39.97506667476205,-75.2325837542201",1032319422.4466307,3.6503548311627543,True,729976.9065258557,0.0,10464.0,2523,2.444010976777331e-06
635,421010112007-1800-car,"39.97506667476205,-75.2325837542201",2941330936.5043154,3.6240873398539746,True,922160.0487961059,0.0,12160.0,2848,9.682691480424721e-07
636,421010112007-600-pt,"39.97506667476205,-75.2325837542201",2794012.919327771,3.142857142857143,False,1636.423096230984,0.0,6784.0,48,1.7179591285336153e-05
637,421010112007-1200-pt,"39.97506667476205,-75.2325837542201",20464781.113012042,3.419491525423729,True,24864.710243035483,0.0,7264.0,268,1.3095669018888192e-05
638,421010112007-1800-pt,"39.97506667476205,-75.2325837542201",57132478.9546248,3.6320998278829606,True,57549.46537767083,0.0,9261.5,506,8.856608522131e-06
675,421010112004-600-foot,"39.97173681016631,-75.23609421486252",2284770.58612006,3.6875,False,0.0,0.0,6528.0,40,1.7507228184308427e-05
676,421010112004-1200-foot,"39.97173681016631,-75.23609421486252",8909349.711181385,3.3714285714285714,False,13683.157622420289,0.0,6528.0,142,1.5938312514749263e-05
